Archivo,SOC_INIT,SOC_END,DIF_SOC,POWER_CONSUMED,DISTANCIA,DURACION,VELOCIDAD_PROMEDIO,ELEVACION,DESCENSO
Ride_280.csv,38.7774,34.5917,4.1857,720.0,1.871,4,40.89,111,5
Ride_281.csv,96.0988,91.7068,4.392,1040.0,4.861,12,32.55,54,47
Ride_282.csv,91.5224,91.0006,0.5218,80.0,0.429,1,40.62,3,19
Ride_283.csv,88.0693,79.9841,8.0852,1520.0,5.033,13,34.18,83,72
Ride_284.csv,72.0624,55.3441,16.7183,3520.0,17.375,26,45.17,251,254
Ride_285.csv,74.012,57.7623,16.2497,3520.0,16.754,18,86.11,349,108
Ride_286.csv,97.0161,97.0161,0.0,0.0,0.0,0,11.91,0,0
Ride_287.csv,96.4966,94.5106,1.986,480.0,4.768,12,36.26,25,244
Ride_288.csv,81.4309,82.4455,-1.0146,-160.0,2.603,7,40.89,31,210
Ride_289.csv,80.5732,73.6855,6.8877,1440.0,3.48,6,46.02,194,32
Ride_29.csv,74.7332,68.6451,6.0881,1360.0,5.142,9,48.9,150,85
Ride_290.csv,73.497,73.9064,-0.4094,-160.0,3.736,7,50.08,36,217
Ride_291.csv,73.7527,73.3075,0.4452,0.0,2.502,3,75.97,9,57
Ride_292.csv,73.0472,72.3743,0.6729,80.0,1.068,1,58.17,7,10
Ride_293.csv,55.1218,57.317,-2.1952,-480.0,3.816,15,22.73,44,215
Ride_294.csv,55.1822,55.1822,0.0,0.0,0.0,0,1.13,0,0
Ride_295.csv,47.4533,47.4362,0.0171,0.0,0.008,0,18.19,0,0
Ride_296.csv,33.8993,90.6131,-56.7138,-12160.0,5.884,27,20.69,88,233
Ride_297.csv,85.598,82.2645,3.3335,720.0,3.376,5,60.63,42,33
Ride_298.csv,96.8889,95.5863,1.3026,240.0,2.023,6,39.38,4,93
Ride_299.csv,87.0755,80.6726,6.4029,1280.0,4.487,14,29.51,69,41
Ride_3.csv,34.5592,35.7424,-1.1832,-240.0,9281.261,2,0.0,1167,11
Ride_30.csv,67.8308,58.9808,8.85,2000.0,11.074,32,32.21,200,299
Ride_300.csv,80.3928,69.4437,10.9491,2320.0,6.89,19,29.34,227,57
Ride_301.csv,64.625,65.4711,-0.8461,-240.0,4.119,12,33.72,35,208
Ride_302.csv,60.8829,53.5172,7.3657,1520.0,8.665,20,44.38,71,125
Ride_303.csv,97.037,91.9489,5.0881,1120.0,5.345,11,17.53,58,217
Ride_304.csv,88.6709,81.2463,7.4246,1520.0,6.166,14,42.54,77,68
Ride_305.csv,81.0652,73.9817,7.0835,1520.0,3.521,9,38.15,194,23
Ride_306.csv,57.824,53.8615,3.9625,880.0,3.506,4,65.35,64,26
Ride_307.csv,52.827,44.9586,7.8684,1840.0,8.681,23,36.14,229,213
Ride_308.csv,96.9535,91.3083,5.6452,1200.0,8.578,20,40.18,74,250
Ride_309.csv,77.5878,74.0531,3.5347,720.0,14.303,23,59.11,28,304
Ride_31.csv,48.002,49.3264,-1.3244,-320.0,4.662,14,30.98,107,326
Ride_310.csv,82.1761,79.7768,2.3993,480.0,1.542,5,37.91,39,38
Ride_311.csv,76.6085,76.4731,0.1354,0.0,0.0,0,0.0,0,0
Ride_312.csv,42.6706,42.6126,0.058,-80.0,3.203,9,34.83,12,143
Ride_313.csv,42.1323,42.0999,0.0324,0.0,0.012,0,7.97,0,0
Ride_314.csv,41.5269,40.7103,0.8166,160.0,0.176,2,5.73,12,1
Ride_315.csv,39.9651,39.9696,-0.0045,0.0,0.072,0,13.55,0,7
Ride_316.csv,96.6859,95.8001,0.8858,160.0,2.339,5,30.19,24,174
Ride_317.csv,89.3467,89.6684,-0.3217,0.0,1.8,5,32.53,10,137
Ride_318.csv,89.5695,74.6707,14.8988,3040.0,15.29,41,37.16,245,290
Ride_319.csv,68.9308,70.5738,-1.643,-320.0,2.851,4,57.1,22,167
Ride_32.csv,49.3026,48.8659,0.4367,80.0,0.62,2,17.18,16,39
Ride_320.csv,65.8195,64.1148,1.7047,400.0,2.837,5,54.22,36,56
Ride_321.csv,63.7089,59.6001,4.1088,880.0,5.103,12,42.33,78,58
Ride_322.csv,59.4675,59.5188,-0.0513,0.0,0.739,3,24.83,12,20
Ride_323.csv,54.6818,56.5411,-1.8593,-400.0,2.113,4,48.76,1,144
Ride_324.csv,55.6429,55.3738,0.2691,80.0,0.268,0,37.2,7,3
Ride_325.csv,97.0001,90.1271,6.873,1440.0,9.859,18,34.42,97,291
Ride_326.csv,88.3726,84.0667,4.3059,880.0,2.562,3,88.26,67,13
Ride_327.csv,66.5463,65.6874,0.8589,240.0,2.498,8,37.26,23,92
Ride_328.csv,65.5255,65.698,-0.1725,0.0,0.191,3,6.24,2,17
Ride_329.csv,64.6752,64.6701,0.0051,0.0,0.001,0,0.21,0,1
Ride_33.csv,78.9442,70.9212,8.023,1760.0,9.619,23,40.47,189,350
Ride_330.csv,51.5288,51.3523,0.1765,0.0,3.119,8,49.2,18,177
Ride_331.csv,42.1098,39.6001,2.5097,480.0,2.51,5,45.08,31,21
Ride_332.csv,92.5085,87.6224,4.8861,1040.0,2.934,7,35.0,104,32
Ride_333.csv,83.3313,79.019,4.3123,880.0,4.185,5,71.87,108,63
Ride_334.csv,52.7887,51.976,0.8127,0.0,3.555,9,40.75,39,174
Ride_335.csv,48.8578,46.6141,2.2437,560.0,3.78,8,43.06,73,95
Ride_336.csv,68.1962,69.1195,-0.9233,-320.0,3.917,13,28.74,163,210
Ride_337.csv,97.0839,95.4641,1.6198,320.0,3.8,10,35.28,53,232
Ride_338.csv,79.4393,80.0978,-0.6585,-240.0,3.802,8,41.94,26,209
Ride_339.csv,70.575,72.6908,-2.1158,-400.0,1.594,3,49.89,0,127
Ride_34.csv,60.2564,51.2943,8.9621,2080.0,6.214,15,42.43,274,271
Ride_340.csv,72.7893,72.7001,0.0892,0.0,0.005,0,0.0,0,0
Ride_341.csv,97.0005,95.0001,2.0004,400.0,3.853,8,46.95,10,202
Ride_342.csv,94.7894,93.7263,1.0631,240.0,5.133,10,40.26,28,154
Ride_343.csv,93.5151,65.4864,28.0287,5920.0,7.247,20,35.82,945,80
Ride_344.csv,57.8729,59.0991,-1.2262,-320.0,1.736,3,49.37,1,104
Ride_345.csv,45.8082,44.5248,1.2834,240.0,3.725,11,38.52,104,280
Ride_346.csv,94.6591,94.4688,0.1903,80.0,0.044,0,5.11,6,0
Ride_347.csv,72.6244,68.655,3.9694,800.0,6.454,9,54.26,52,144
Ride_348.csv,61.2797,56.9699,4.3098,880.0,10.714,17,59.91,202,242
Ride_349.csv,95.7156,95.3398,0.3758,80.0,2.116,4,39.48,7,72
Ride_35.csv,51.1241,53.5051,-2.381,-560.0,2.553,6,37.46,60,215
Ride_350.csv,84.3982,83.6537,0.7445,160.0,3.732,9,35.37,43,219
Ride_351.csv,97.0799,95.7297,1.3502,240.0,3.776,9,39.14,42,213
Ride_352.csv,87.8961,87.8096,0.0865,-80.0,3.782,10,33.98,44,220
Ride_353.csv,87.667,85.4703,2.1967,320.0,1.169,11,12.85,51,39
Ride_354.csv,78.2174,79.3837,-1.1663,-320.0,3.741,8,45.46,26,202
Ride_355.csv,81.1864,80.6829,0.5035,80.0,4.193,12,33.26,66,225
Ride_357.csv,73.2307,71.8702,1.3605,240.0,1.441,5,26.26,28,31
Ride_358.csv,70.3277,70.3051,0.0226,-80.0,1.819,1,101.07,27,91
Ride_359.csv,62.2775,58.782,3.4955,720.0,8.426,20,38.23,226,314
Ride_36.csv,78.739,78.136,0.603,80.0,3.878,15,23.86,259,265
Ride_360.csv,96.9943,95.0892,1.9051,400.0,3.834,10,41.84,62,232
Ride_361.csv,69.9555,69.9555,0.0,0.0,0.0,0,0.0,0,0
Ride_362.csv,68.756,68.079,0.677,240.0,4.131,4,95.37,19,114
Ride_363.csv,56.427,56.98,-0.553,-160.0,3.702,11,26.74,54,219
Ride_364.csv,49.3459,48.7574,0.5885,80.0,1.399,4,28.89,6,46
Ride_365.csv,62.1327,57.7535,4.3792,880.0,5.769,9,57.81,82,19
Ride_366.csv,97.0481,95.5472,1.5009,240.0,3.937,10,36.23,44,214
Ride_367.csv,86.2424,84.9513,1.2911,240.0,3.775,8,44.8,46,215
Ride_368.csv,75.029,75.2001,-0.1711,-160.0,3.836,13,29.74,44,219
Ride_369.csv,67.9357,70.8321,-2.8964,-640.0,2.64,11,32.58,9,192
Ride_37.csv,76.3124,76.2499,0.0625,0.0,0.125,3,0.0,11,10
Ride_370.csv,69.9758,70.0163,-0.0405,0.0,0.337,1,17.44,4,17
Ride_371.csv,69.725,68.8864,0.8386,160.0,0.354,13,2.15,34,30
Ride_372.csv,61.3098,61.3095,0.0003,0.0,0.0,0,1.85,0,0
Ride_374.csv,56.5764,54.9152,1.6612,320.0,1.631,1,105.55,29,2
Ride_375.csv,78.8465,79.167,-0.3205,-80.0,1.304,4,28.17,8,92
Ride_376.csv,77.7875,76.6973,1.0902,160.0,0.746,5,9.76,32,10
Ride_377.csv,78.74,64.6486,14.0914,3120.0,14.74,16,88.28,167,248
Ride_378.csv,96.8736,96.7928,0.0808,0.0,0.731,1,61.82,0,56
Ride_379.csv,95.8519,86.1609,9.691,2080.0,6.908,20,33.06,174,134
Ride_38.csv,74.0221,61.4613,12.5608,2720.0,14.528,53,26.16,490,489
Ride_380.csv,77.3958,66.3069,11.0889,2400.0,6.219,30,22.42,172,141
Ride_381.csv,78.4489,76.8414,1.6075,320.0,0.616,6,8.71,40,21
Ride_382.csv,49.3251,50.1699,-0.8448,-160.0,2.493,9,38.06,10,183
Ride_384.csv,46.7253,47.8992,-1.1739,-320.0,1.487,3,43.34,3,127
Ride_385.csv,78.8123,78.8825,-0.0702,0.0,0.166,0,47.44,0,7
Ride_386.csv,63.5022,58.7827,4.7195,960.0,1.747,3,54.92,127,4
